IPC,LIBRARY,ENVIRONMENT,AVG_TIME,ITERATIONS
semaphore,posix,native,0.016770,5
semaphore,posix,native,0.003354,5
semaphore,posix,native,0.014392,5
semaphore,posix,native,0.002878,5
semaphore,posix,native,0.000576,5
semaphore,posix,namespace,0.014392,5
semaphore,sysv,native,0.002419,5
semaphore,posix,native,0.000115,5
semaphore,posix,namespace,0.002878,5
semaphore,posix,native,0.000023,5
semaphore,posix,namespace,0.000576,5
semaphore,sysv,namespace,0.003482,5
semaphore,sysv,native,0.002419,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000115,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000023,5
semaphore,posix,native,0.015580,5
semaphore,posix,native,0.000010,5
semaphore,sysv,namespace,0.003482,5
semaphore,posix,namespace,0.000010,5
semaphore,sysv,native,0.002419,5
semaphore,posix,native,0.016570,5
semaphore,posix,native,0.003116,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,posix,native,0.003314,5
semaphore,posix,native,0.000623,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,sysv,namespace,0.003482,5
semaphore,posix,native,0.000663,5
semaphore,sysv,native,0.002419,5
semaphore,posix,native,0.000125,5
semaphore,posix,namespace,0.016968,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,posix,native,0.000133,5
semaphore,posix,native,0.016174,5
semaphore,posix,native,0.000025,5
semaphore,posix,namespace,0.003394,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,posix,native,0.000027,5
semaphore,posix,native,0.003235,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000679,5
semaphore,sysv,namespace,0.003482,5
semaphore,posix,native,0.000010,5
semaphore,sysv,native,0.002419,5
semaphore,posix,namespace,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,native,0.000647,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000136,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,native,0.000129,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000027,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,sysv,native,0.002419,5
semaphore,posix,native,0.000010,5
semaphore,posix,native,0.000026,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,namespace,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,native,0.000010,5
semaphore,posix,native,0.000010,5
