IPC,LIBRARY,ENVIRONMENT,AVG_TIME,ITERATIONS
shared_memory,posix,native,0.009000,1
shared_memory,posix,native,0.004310,100
shared_memory,posix,native,0.004325,100
shared_memory,posix,native,0.004375,100
shared_memory,posix,native,0.009000,1
shared_memory,posix,native,0.004310,100
shared_memory,posix,native,0.004325,100
shared_memory,posix,native,0.004375,100
shared_memory,posix,native,0.004200,5
shared_memory,posix,native,0.004050,5
shared_memory,posix,native,0.003967,5
shared_memory,posix,native,0.004000,5
shared_memory,posix,native,0.004000,5
shared_memory,posix,native,0.004017,5
shared_memory,posix,native,0.004186,5
shared_memory,posix,native,0.004512,5
shared_memory,posix,native,0.004467,5
shared_memory,posix,native,0.004420,5
shared_memory,posix,native,0.004436,5
shared_memory,posix,native,0.004433,5
shared_memory,posix,native,0.004408,5
shared_memory,posix,native,0.004386,5
shared_memory,posix,native,0.004380,5
shared_memory,posix,native,0.004356,5
shared_memory,posix,native,0.004500,5
shared_memory,posix,native,0.004500,5
shared_memory,posix,native,0.004468,5
shared_memory,posix,native,0.004635,5
shared_memory,posix,native,0.004619,5
shared_memory,posix,native,0.004595,5
shared_memory,posix,native,0.004704,5
shared_memory,posix,native,0.004708,5
shared_memory,posix,native,0.004680,5
shared_memory,sysv,native,0.005700,5
shared_memory,sysv,native,0.005400,5
shared_memory,sysv,native,0.004967,5
shared_memory,sysv,native,0.005000,5
shared_memory,sysv,native,0.004800,5
shared_memory,sysv,native,0.004567,5
shared_memory,sysv,native,0.004471,5
shared_memory,sysv,native,0.004375,5
shared_memory,sysv,native,0.004333,5
shared_memory,sysv,native,0.004270,5
shared_memory,sysv,native,0.004209,5
shared_memory,sysv,native,0.004158,5
shared_memory,sysv,native,0.004200,5
shared_memory,sysv,native,0.004186,5
shared_memory,sysv,native,0.004153,5
shared_memory,sysv,native,0.004200,5
shared_memory,sysv,native,0.004188,5
shared_memory,sysv,native,0.004189,5
shared_memory,sysv,native,0.004174,5
shared_memory,sysv,native,0.004165,5
shared_memory,sysv,native,0.004143,5
shared_memory,sysv,native,0.004127,5
shared_memory,sysv,native,0.004109,5
shared_memory,sysv,native,0.004088,5
shared_memory,sysv,native,0.004088,5
shared_memory,posix,namespace,0.005900,5
shared_memory,posix,namespace,0.005750,5
shared_memory,posix,namespace,0.005667,5
shared_memory,posix,namespace,0.005575,5
shared_memory,posix,namespace,0.005520,5
